No,Player,G,Min,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Fgm-a,Pct,3gm-a,Pct,Ftm-a,Pct,eff
89,M. Harkless,3,28,9,4,1,1,1.3,0.3,4,2,2,3.3-10.3,0.323,0.7-3.7,0.182,1.7-2.0,0.833,8.7
90,K. Thompson,3,35.6,18.3,2.3,1.3,1.3,0.7,3.3,2.3,1.3,1,6.7-18.0,0.37,2.7-7.7,0.348,2.3-3.0,0.778,8.7
91,A. Aminu,3,26.1,7.7,6.3,1,0.3,1,2,2,5.3,1,3.3-8.3,0.4,0.7-2.7,0.25,0.3-1.0,0.333,8.7
92,R. Felton,4,16.8,7.3,1,1.8,1,0,0.3,0.8,1,0,2.8-5.0,0.55,1.0-2.0,0.5,0.8-0.8,1,8.5
93,T. Gibson,4,23.3,9.8,2.5,0.8,0.3,0,1.8,2.5,2,0.5,4.3-7.0,0.607,0.0-0.0,-,1.3-1.5,0.833,8.5
94,J. Green,4,19.9,7,4,0.3,0,0.3,0.3,3.5,3.3,0.8,2.8-5.8,0.478,1.0-2.3,0.444,0.5-0.5,1,8.3
95,A. Harrison,4,21.8,6,2.3,3.3,0.5,0.3,0.8,2.5,1.5,0.8,1.8-4.8,0.368,0.5-2.0,0.25,2.0-2.3,0.889,8.3
96,J. Crawford,4,27.9,13,1.3,1.3,0.8,0.3,1.5,2,0.8,0.5,5.0-11.8,0.426,1.3-4.5,0.278,1.8-1.8,1,8.3
97,N. Vonleh,3,22.6,5,5,2.7,0.3,1,2,3,2.7,2.3,2.3-5.3,0.438,0.0-0.0,-,0.3-1.0,0.333,8.3
98,D. West,3,13.8,4.7,3,2.3,0,1,1,1.3,2.3,0.7,2.0-4.0,0.5,0.0-0.0,-,0.7-0.7,1,8
99,M. Delaney,1,3.4,8,1,0,0,0,0,0,1,0,3.0-3.0,1,1.0-1.0,1,1.0-2.0,0.5,8
100,M. Speights,4,16.6,7,2.8,0.8,0.5,0.3,0,2,2.8,0,2.5-5.8,0.435,1.3-3.5,0.357,0.8-1.0,0.75,7.8
101,V. Carter,4,32.6,8.3,2.8,1.3,0.3,0,1.3,2,2.3,0.5,3.5-7.0,0.5,1.3-3.0,0.417,0.0-0.0,-,7.8
102,K. Oubre Jr.,3,18.5,7,3,0.7,1.7,0.7,0.7,4.7,2,1,2.3-6.7,0.35,1.3-3.3,0.4,1.0-1.3,0.75,7.7
103,P. Zipser,4,22.5,8,3,0.5,0.3,0.3,1.8,1.5,2.5,0.5,2.5-5.3,0.476,1.0-2.8,0.364,2.0-2.0,1,7.5
104,E. Ilyasova,3,18.2,5,6.3,0,0.3,0,1.3,1,4,2.3,1.7-4.7,0.357,0.0-1.0,-,1.7-1.7,1,7.3
105,K. Seraphin,4,14.7,7.3,3.5,1,0,0.5,1,2.5,1.5,2,3.0-6.5,0.462,0.0-0.0,-,1.3-1.8,0.714,7.3
106,D. Green,4,24.2,6.3,3,0.3,0.3,1.5,0.3,2,2,1,2.3-6.3,0.36,1.0-4.3,0.235,0.8-0.8,1,7
107,G. Green,3,16.3,9,2.7,0.3,0,0,0.3,1.7,2,0.7,3.3-7.7,0.435,2.0-4.3,0.462,0.3-0.7,0.5,7
108,D. Lee,4,19.5,3.8,3.8,0.8,0.3,0.8,0.3,2.5,2.8,1,1.3-3.3,0.385,0.0-0.3,-,1.3-1.5,0.833,6.8
