"","Date","Atlanta Hawks","Boston Celtics","Brooklyn Nets","Charlotte Hornets","Chicago Bulls","Cleveland Cavaliers","Dallas Mavericks","Denver Nuggets","Detroit Pistons","Golden State Warriors","Houston Rockets","Indiana Pacers","Los Angeles Clippers","Los Angeles Lakers","Memphis Grizzlies","Miami Heat","Milwaukee Bucks","Minnesota Timberwolves","New Orleans Pelicans","New York Knicks","Oklahoma City Thunder","Orlando Magic","Philadelphia 76ers","Phoenix Suns","Portland Trail Blazers","Sacramento Kings","San Antonio Spurs","Toronto Raptors","Utah Jazz","Washington Wizards"
"128","Wed, Mar 9, 2016",1858.97796635184,1867.58700923185,957.628366917577,1752.69139494081,1349.4237314297,2173.68899043662,1571.01199048327,1160.50368576627,1528.44167211284,2593.8952783156,1646.54672484977,1639.08433726062,2034.05789138889,636.376858942634,1624.15796987227,1561.42498242284,1123.27518028236,886.105366757592,1234.97077179599,987.700160454706,2080.71570651464,1172.6190800998,520.601908478894,1019.84630919323,1592.98017437698,1179.74279564439,2519.00045569665,1876.6482736493,1593.15797461385,1396.76479171821
"129","Thu, Mar 10, 2016",1850.25813833915,1867.58700923185,957.628366917577,1752.69139494081,1340.42568573038,2184.12426426412,1571.01199048327,1178.18072653826,1528.44167211284,2593.8952783156,1646.54672484977,1639.08433726062,2034.05789138889,625.941585115137,1624.15796987227,1561.42498242284,1123.27518028236,886.105366757592,1234.97077179599,987.700160454706,2080.71570651464,1172.6190800998,520.601908478894,1002.16926842124,1592.98017437698,1179.74279564439,2527.99850139597,1885.36810166198,1593.15797461385,1396.76479171821
"130","Fri, Mar 11, 2016",1850.25813833915,1864.22425337394,955.601215564439,1769.46025978685,1317.18049553612,2184.12426426412,1571.01199048327,1178.18072653826,1511.6728072668,2608.79851778367,1649.90948070769,1639.08433726062,2042.8133050695,625.941585115137,1635.08775328761,1584.6701726171,1123.27518028236,886.365381184832,1224.04098838065,978.944746774087,2080.4556920874,1180.90660643081,522.629059832032,1002.16926842124,1578.07693490892,1171.45526931339,2527.99850139597,1885.36810166198,1613.86955525145,1376.05321108061
"131","Sat, Mar 12, 2016",1864.66844515267,1864.22425337394,955.601215564439,1785.37820114213,1317.18049553612,2184.12426426412,1561.49023709247,1187.13211568483,1525.98529063062,2615.91130922978,1633.99153935241,1648.60609065141,2042.8133050695,625.941585115137,1620.67744647409,1572.98846268725,1132.69204712827,886.365381184832,1214.62412153474,978.944746774087,2068.72082684582,1147.78198545698,508.316576468214,995.056476975125,1611.20155588275,1171.45526931339,2539.73336663755,1897.04981159183,1613.86955525145,1367.10182193404
"132","Sun, Mar 13, 2016",1891.10304796967,1864.22425337394,943.070492536568,1785.37820114213,1317.18049553612,2207.30788694462,1561.49023709247,1187.13211568483,1525.98529063062,2615.91130922978,1633.99153935241,1622.17148783441,2019.62968238901,618.23295545972,1620.67744647409,1572.98846268725,1145.22277015614,886.365381184832,1214.62412153474,986.653376429505,2068.72082684582,1147.78198545698,508.316576468214,995.056476975125,1611.20155588275,1158.12119887383,2539.73336663755,1897.04981159183,1627.20362569101,1367.10182193404
"133","Mon, Mar 14, 2016",1891.10304796967,1864.22425337394,943.070492536568,1779.58188877355,1317.79860939223,2205.84559417852,1567.28654946104,1177.98870628176,1505.40675324759,2629.74639814498,1663.94033161055,1622.17148783441,2019.62968238901,618.23295545972,1590.72865421596,1582.13187209032,1145.22277015614,880.122911454429,1200.78903261955,986.653376429505,2099.64073901295,1147.78198545698,508.316576468214,1001.29894670553,1580.28164371562,1158.12119887383,2539.73336663755,1896.43169773571,1628.66591845711,1387.68035931707
"134","Tue, Mar 15, 2016",1891.10304796967,1860.37070472104,962.035370183938,1779.58188877355,1317.79860939223,2205.84559417852,1567.28654946104,1170.10542234498,1505.40675324759,2629.74639814498,1663.94033161055,1626.02503648731,1998.05442335042,606.094132235984,1590.72865421596,1582.13187209032,1126.44481701369,880.122911454429,1200.78903261955,986.653376429505,2099.64073901295,1155.66526939377,489.351698820845,1001.29894670553,1580.28164371562,1170.26002209756,2561.30862567614,1915.20965087816,1628.66591845711,1387.68035931707
"135","Wed, Mar 16, 2016",1899.8224468401,1837.65195075869,962.035370183938,1790.77262856218,1299.91762077893,2210.80152680188,1562.33061683767,1170.10542234498,1496.68735437717,2650.61898752107,1644.58215594708,1626.02503648731,2017.41259901388,606.094132235984,1590.13893319487,1582.13187209032,1126.44481701369,880.712632475516,1215.08337372439,965.780787053408,2122.3594929753,1144.47452960515,489.351698820845,1001.29894670553,1580.28164371562,1155.96568099272,2561.30862567614,1915.20965087816,1628.66591845711,1405.56134793037
"136","Thu, Mar 17, 2016",1917.86049580995,1837.65195075869,943.817463981309,1798.13831212299,1318.13552698156,2210.80152680188,1562.33061683767,1152.06737337513,1496.68735437717,2650.61898752107,1644.58215594708,1614.53518376915,2017.41259901388,606.094132235984,1587.68886141701,1574.76618852951,1128.89488879155,880.712632475516,1215.08337372439,965.780787053408,2122.3594929753,1144.47452960515,481.271328124845,971.802027999529,1570.57841125477,1155.96568099272,2571.01185813699,1926.69950359632,1658.16283716311,1413.64171862637
"137","Fri, Mar 18, 2016",1917.86049580995,1823.67760790981,943.817463981309,1798.13831212299,1318.13552698156,2219.1294441037,1546.07772153947,1152.06737337513,1507.59289764345,2666.87188281927,1652.80379112664,1614.53518376915,2017.41259901388,596.38761472538,1587.68886141701,1574.76618852951,1128.89488879155,872.49099729596,1205.37892409539,965.780787053408,2133.48045265231,1136.14661230333,470.150368447837,981.508545510133,1580.28286088376,1145.06013772644,2571.01185813699,1940.67384644519,1658.16283716311,1413.64171862637
"138","Sat, Mar 19, 2016",1932.65543052533,1823.67760790981,929.18679761655,1797.24824856668,1321.34893834132,2217.12593746704,1546.07772153947,1152.95743693144,1522.22356400821,2659.00296792871,1638.00885641126,1606.02619074331,2014.44206921688,596.38761472538,1590.65939121401,1576.76969516616,1128.89488879155,872.49099729596,1205.37892409539,952.3686509085,2141.98944567815,1136.14661230333,470.150368447837,981.508545510133,1580.28286088376,1145.06013772644,2578.88077302755,1940.67384644519,1654.94942580335,1427.05385477127
"139","Sun, Mar 20, 2016",1932.65543052533,1836.60036560213,929.18679761655,1797.24824856668,1321.34893834132,2217.12593746704,1557.83426559509,1152.95743693144,1522.22356400821,2659.00296792871,1638.00885641126,1606.02619074331,2014.00603293372,596.38761472538,1590.65939121401,1576.76969516616,1115.82597215439,872.49099729596,1205.81496037855,940.537473168267,2141.98944567815,1128.05960193881,457.227610755517,981.508545510133,1568.52631682815,1156.89131546667,2578.88077302755,1948.76085680972,1668.01834244052,1427.05385477127
"140","Mon, Mar 21, 2016",1930.32056717703,1849.75051814123,929.18679761655,1797.66534502485,1331.35412934282,2241.34765811179,1557.83426559509,1128.73571628669,1527.47092716696,2664.7967331861,1638.00885641126,1620.07267402311,2014.00603293372,596.38761472538,1600.75472893667,1576.76969516616,1110.57860899564,866.697232038573,1205.81496037855,940.537473168267,2141.98944567815,1114.90944939971,443.18112747571,971.413207787471,1568.52631682815,1146.88612446517,2578.46367656938,1948.76085680972,1668.01834244052,1429.38871811957
"141","Tue, Mar 22, 2016",1930.32056717703,1849.75051814123,920.937663254021,1805.91447938737,1331.35412934282,2241.34765811179,1557.83426559509,1128.73571628669,1527.47092716696,2664.7967331861,1629.92504994947,1620.07267402311,2014.00603293372,596.831595638572,1600.31074802348,1594.509464279,1110.57860899564,866.697232038573,1188.07519126572,940.537473168267,2150.07325213994,1114.90944939971,443.18112747571,971.413207787471,1568.52631682815,1146.88612446517,2578.46367656938,1948.76085680972,1668.01834244052,1429.38871811957
"142","Wed, Mar 23, 2016",1953.23673602864,1859.7495829386,920.937663254021,1805.91447938737,1328.83451126998,2251.14235390477,1550.51205262607,1133.6057438823,1545.71440123598,2681.95791227541,1624.72402557362,1620.07267402311,1996.84485384441,581.713450329822,1600.31074802348,1574.63141445086,1100.78391320265,871.346615069426,1188.07519126572,943.057091241107,2150.07325213994,1096.6659753307,438.311099880105,986.531353096222,1575.84852979716,1142.23674143432,2598.34172639752,1938.76179201235,1673.21936681637,1406.47254926796
"143","Thu, Mar 24, 2016",1953.23673602864,1859.7495829386,920.873874998141,1805.91447938737,1325.10767566906,2251.20614216065,1550.51205262607,1133.6057438823,1545.71440123598,2681.95791227541,1624.72402557362,1631.83210057733,2003.11045312997,581.713450329822,1600.31074802348,1574.63141445086,1100.78391320265,871.346615069426,1176.3157647115,946.783926842032,2172.58886402267,1096.6659753307,438.311099880105,986.531353096222,1569.58293051161,1142.23674143432,2598.34172639752,1938.76179201235,1650.70375493364,1406.47254926796
"144","Fri, Mar 25, 2016",1965.64397890809,1859.7495829386,920.873874998141,1801.59489860355,1325.10767566906,2251.20614216065,1541.3784072443,1148.27149627848,1550.0339820198,2691.09155765718,1627.07992633645,1631.83210057733,2003.11045312997,567.047697933636,1592.10379151062,1588.78730729374,1088.37667032321,872.205329679284,1176.3157647115,946.783926842032,2172.58886402267,1082.51008248782,438.311099880105,965.883924986946,1569.58293051161,1162.8841695436,2606.54868291038,1936.40589124951,1650.70375493364,1405.6138346581
"145","Sat, Mar 26, 2016",1985.78785589357,1866.23114257019,921.844253205678,1824.92423502271,1315.53771807068,2263.78691097801,1541.3784072443,1148.27149627848,1529.89010503432,2691.09155765718,1627.07992633645,1630.86172236979,2003.11045312997,567.047697933636,1592.10379151062,1588.78730729374,1065.04733390405,860.343231714526,1153.44273402524,934.203158024669,2176.78312112729,1092.08004008619,432.686640143208,959.402365355352,1575.2073902485,1162.8841695436,2602.35442580576,1959.27892193577,1662.5658528984,1405.6138346581
"146","Sun, Mar 27, 2016",1985.78785589357,1866.23114257019,921.844253205678,1824.92423502271,1315.53771807068,2263.78691097801,1535.60953227954,1133.1162120471,1529.89010503432,2699.15342235819,1621.86170377991,1636.07994492634,2018.26573736136,552.49772990965,1592.10379151062,1588.78730729374,1065.04733390405,860.343231714526,1153.44273402524,934.203158024669,2176.78312112729,1092.08004008619,424.624775442203,959.402365355352,1575.2073902485,1168.65304450836,2602.35442580576,1959.27892193577,1662.5658528984,1420.16380268209
