"","G","Date","X","Opp","W.L","Tm","Opp.1","FG","FGA","FG.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","TRB","AST","STL","BLK","TOV","PF","FG_opp","FGA_opp","FG._opp","X3P_opp","X3PA_opp","X3P._opp","FT_opp","FTA_opp","FT._opp","ORB_opp","TRB_opp","AST_opp","STL_opp","BLK_opp","TOV_opp","PF_opp"
"60",60,"3/4/16","","POR","W",117,115,34,67,0.507,6,12,0.5,43,54,0.796,9,38,12,5,4,13,30,39,83,0.47,11,27,0.407,26,35,0.743,10,36,14,5,3,11,35
"61",61,"3/6/16","","HOU","L",107,113,37,77,0.481,12,33,0.364,21,27,0.778,7,42,27,8,6,15,24,38,78,0.487,13,29,0.448,24,37,0.649,8,37,27,9,4,10,21
"62",62,"3/8/16","","BRK","W",104,99,37,78,0.474,10,23,0.435,20,25,0.8,12,40,24,9,7,16,15,42,82,0.512,6,12,0.5,9,9,1,6,29,23,7,8,15,22
"63",63,"3/10/16","","ATL","W",104,96,38,82,0.463,7,24,0.292,21,29,0.724,11,48,16,6,3,13,24,35,82,0.427,7,23,0.304,19,27,0.704,6,33,17,8,5,11,24
"64",64,"3/12/16","","MIA","W",112,104,37,84,0.44,6,18,0.333,32,38,0.842,7,42,17,10,7,13,23,37,98,0.378,9,25,0.36,21,26,0.808,16,47,19,9,5,13,30
"65",65,"3/14/16","","CHI","L",107,109,37,83,0.446,6,20,0.3,27,31,0.871,10,42,12,5,9,5,18,41,83,0.494,9,25,0.36,18,20,0.9,8,38,23,2,7,8,22
"66",66,"3/15/16","@","MIL","W",107,89,39,83,0.47,14,30,0.467,15,17,0.882,13,48,27,4,8,9,23,34,77,0.442,2,13,0.154,19,26,0.731,10,37,18,8,3,7,16
"67",67,"3/17/16","@","IND","W",101,94,32,88,0.364,7,22,0.318,30,38,0.789,15,57,11,5,5,14,21,35,91,0.385,8,28,0.286,16,23,0.696,9,48,21,9,7,14,32
"68",68,"3/18/16","","BOS","W",105,91,37,77,0.481,13,28,0.464,18,25,0.72,7,40,18,10,8,12,19,36,82,0.439,9,21,0.429,10,12,0.833,7,37,18,8,3,15,18
"69",69,"3/20/16","","ORL","W",105,100,35,81,0.432,6,20,0.3,29,45,0.644,14,45,18,8,7,10,18,40,83,0.482,8,22,0.364,12,18,0.667,7,40,20,4,8,12,30
"70",70,"3/23/16","@","BOS","L",79,91,31,89,0.348,6,22,0.273,11,20,0.55,15,52,13,3,7,11,15,35,80,0.438,8,20,0.4,13,21,0.619,7,48,24,5,5,8,18
"71",71,"3/25/16","@","HOU","L",109,112,39,94,0.415,13,31,0.419,18,26,0.692,15,45,23,9,5,10,24,42,81,0.519,12,22,0.545,16,35,0.457,13,48,25,3,11,16,23
"72",72,"3/26/16","@","NOP","W",115,91,39,73,0.534,12,29,0.414,25,28,0.893,7,48,24,6,7,13,18,37,85,0.435,4,15,0.267,13,20,0.65,9,36,22,6,1,7,18
"73",73,"3/28/16","","OKC","L",100,119,38,93,0.409,8,24,0.333,16,23,0.696,12,40,19,4,7,9,21,41,86,0.477,11,26,0.423,26,32,0.813,12,53,29,7,5,10,22
"74",74,"3/30/16","","ATL","W",105,97,36,80,0.45,11,23,0.478,22,28,0.786,8,44,26,14,4,11,19,37,83,0.446,14,33,0.424,9,13,0.692,11,44,24,3,7,18,19
"75",75,"4/1/16","@","MEM","W",99,95,30,71,0.423,12,28,0.429,27,29,0.931,11,41,16,8,12,18,19,37,91,0.407,7,19,0.368,14,17,0.824,18,42,16,13,7,14,25
"76",76,"4/2/16","@","SAS","L",95,102,40,80,0.5,6,18,0.333,9,10,0.9,6,32,18,8,3,13,21,35,77,0.455,5,20,0.25,27,30,0.9,15,47,28,11,5,14,14
"77",77,"4/5/16","","CHO","W",96,90,34,78,0.436,6,23,0.261,22,31,0.71,7,47,19,6,8,11,16,32,88,0.364,11,35,0.314,15,21,0.714,11,43,20,5,6,6,22
"78",78,"4/7/16","@","ATL","L",87,95,32,84,0.381,8,21,0.381,15,20,0.75,8,46,16,10,4,11,16,33,76,0.434,12,32,0.375,17,21,0.81,5,41,23,4,12,13,19
"79",79,"4/8/16","","IND","W",111,98,37,68,0.544,10,22,0.455,27,38,0.711,5,36,21,4,5,16,19,37,83,0.446,8,27,0.296,16,20,0.8,9,33,22,7,7,9,28
"80",80,"4/10/16","@","NYK","W",93,89,37,78,0.474,7,20,0.35,12,19,0.632,7,38,19,4,6,6,19,32,89,0.36,7,20,0.35,18,21,0.857,13,47,14,4,3,8,15
"81",81,"4/12/16","","PHI","W",122,98,48,95,0.505,10,25,0.4,16,19,0.842,16,52,25,11,5,13,20,35,77,0.455,15,35,0.429,13,25,0.52,7,32,24,8,6,13,18
"82",82,"4/13/16","@","BRK","W",103,96,41,93,0.441,13,37,0.351,8,15,0.533,16,57,24,5,10,9,12,39,89,0.438,10,26,0.385,8,12,0.667,5,39,26,8,8,8,17
